#file time_0 time_1 time_2 time_3 time_4 time_5 time_6 time_7 time_8 time_9 time_10 time_11 time_12 time_13 time_14 time_15 time_16 time_17 time_18 time_19 time_20 time_21 time_22 time_23 time_24 
geo020s08a0059v01 -6.9414 -2.6264 6.7034 17.9587 28.3984 26.2776 18.5380 10.3012 5.3408 6.7687 9.5312 12.7355 13.0974 9.7231 5.6669 4.9162 4.2255 -5.2560 -14.3923 -1.1891 39.1875 54.8952 39.7138 10.6508 -20.2337 
geo020s08a0059v02 -6.1426 9.3258 18.3709 19.2641 15.8011 3.5887 -7.3725 0.4325 4.0513 8.2360 8.6059 1.5777 -4.1486 -9.3722 -11.4236 -12.7849 -11.1167 -8.8932 -3.9594 -0.2066 3.2932 1.4845 -0.8328 -1.6578 2.9195 
geo020s08a0060v01 0.0681 4.6586 3.2687 -7.5378 -13.0776 -14.5662 -6.8139 -2.7726 -0.6578 -1.6820 -0.7802 -2.8517 1.0002 -0.4666 5.3933 6.6016 9.1070 2.7997 -2.6161 -4.9685 -3.7388 -7.8000 -19.9255 -21.4065 -2.4740 
geo020s08a0060v02 7.5055 4.6374 2.2168 -7.1647 -22.0993 -21.7695 2.2240 19.1576 23.3907 15.8986 1.0028 -14.5996 -21.3843 -24.0961 -14.1839 -5.8111 7.6420 11.3128 14.2273 8.6942 8.9824 8.7652 6.7221 0.1495 -6.7669 
geo020s08a0061v02 -22.8554 -9.5922 6.4812 15.4069 15.4561 9.3100 5.3642 3.8083 5.2564 5.9436 3.3988 2.0601 -1.0243 -1.0433 0.4828 1.1721 1.5433 -0.2166 3.3901 4.8428 4.3023 -1.1142 -1.0909 -5.7375 -6.2110 
geo020s08a0062v01 -7.1211 -14.1611 -29.6711 -99.5179 -51.8054 -1.8634 51.7899 85.7576 85.9732 44.7829 9.1100 -14.7019 -30.3027 -26.8376 -18.2182 -9.2059 -0.6581 1.9816 13.3667 14.3497 -7.5331 5.3781 20.2215 31.9203 34.4936 
geo020s08a0062v02 -31.4535 -19.5080 5.8733 30.2598 38.7459 39.7773 27.4849 10.3397 -12.5402 -20.2439 -26.6990 -4.8140 -5.9793 -1.7850 1.2747 -0.0253 1.0652 5.4122 2.3196 13.0198 21.0998 22.8519 17.6160 8.1665 -5.7936 
geo020s08a0063v01 -3.3376 -5.0640 -14.9387 -17.3314 -1.9728 31.2170 18.2009 47.9127 40.3553 14.7863 -13.2696 -28.8821 -26.6367 -6.3249 16.2910 29.7097 23.5161 13.3737 -0.8617 -11.4272 -18.0193 -15.6296 -10.9146 -0.6957 4.8705 
geo020s08a0063v02 -4.4395 1.7605 8.0714 10.3520 4.3285 -4.0130 -16.4646 -21.5776 -15.1583 -6.2304 0.3421 7.5997 8.2227 6.0181 2.4353 0.9687 -1.3312 -1.2409 -2.0519 -7.2332 -15.3048 -16.0476 -0.2335 23.6006 37.4095 
geo020s08a0064v01 2.3140 -3.3665 -6.7652 -6.9735 -3.9417 0.0605 0.8230 2.9290 3.5891 4.9970 9.1815 7.8517 3.3290 -3.1569 -7.0181 -9.1297 -6.8033 -2.5813 2.4269 6.9496 5.5116 3.3194 -0.4762 -4.5131 -6.2507 
